sample_id,ticker,sector,cold_start_weeks,model,augmentation_method,augmentation_ratio,n_synthetic_points,MAE,RMSE,MAPE
AAPL_w04_s0011,AAPL,technology,4,moving_average,statistical,1.0,20,25.661870600300357,25.880016848166004,20.610984872689826
AAPL_w04_s0011,AAPL,technology,4,linear_trend,statistical,1.0,20,39.20866827195365,40.5336348257981,31.582181363225164
AAPL_w04_s0011,AAPL,technology,4,naive,statistical,2.0,40,44.298947109370076,44.425672581893046,35.528208676746296
AAPL_w04_s0011,AAPL,technology,4,moving_average,statistical,2.0,40,40.70984244082474,40.84770423061217,32.65546854656441
AAPL_w04_s0011,AAPL,technology,4,linear_trend,statistical,2.0,40,55.80455300327385,56.70565809195478,44.86188502420058
AAPL_w04_s0012,AAPL,technology,4,naive,statistical,0.5,10,11.418559425871235,12.997304662402744,8.585124258436759
AAPL_w04_s0012,AAPL,technology,4,moving_average,statistical,0.5,10,9.563172603145771,11.401784920034281,7.1536214366124575
AAPL_w04_s0012,AAPL,technology,4,linear_trend,statistical,0.5,10,12.116854336373962,14.228120532380938,9.07854327164296
AAPL_w04_s0012,AAPL,technology,4,naive,statistical,1.0,20,10.142502287255324,11.891878815903851,7.600596734384159
AAPL_w04_s0012,AAPL,technology,4,moving_average,statistical,1.0,20,10.46337696671385,12.166704018456322,7.848163982071147
AAPL_w04_s0012,AAPL,technology,4,linear_trend,statistical,1.0,20,12.737943130219634,14.668494826529173,9.564395988186117
AAPL_w04_s0012,AAPL,technology,4,naive,statistical,2.0,40,13.806209785989038,15.137960819737339,10.427289022233932
AAPL_w04_s0012,AAPL,technology,4,moving_average,statistical,2.0,40,13.278433808947566,14.658213859258742,10.02008940694501
AAPL_w04_s0012,AAPL,technology,4,linear_trend,statistical,2.0,40,15.629939255226654,17.259704633474207,11.79396520240936
AAPL_w04_s0013,AAPL,technology,4,naive,statistical,0.5,10,4.289386350146734,4.6419368372117935,3.0089803483624675
